taxa,3329_11-01-16,6100_12-27-16,1894_04-24-18,6070_08-30-17,6037_07-10-18,3660_09-20-16,5702_04-26-16,8118_02-09-16,1320_03-23-16,4489_11-17-15,4374_02-28-17,8186_11-22-16,6995_03-15-16,5338_08-04-17,0010_07-09-16,7786_11-08-16,7953_05-15-18,5287_10-19-16,4759_08-16-16,5913_01-24-17,4100_01-03-17,1203_01-23-17,4657_08-23-16,4582_05-23-17,9059_02-02-16,0963_05-23-17,1985_06-07-16,9591_03-14-17,1709_09-19-17,9120_02-09-16,8120_05-22-18,7768_08-15-17,3369_08-07-18,3898_12-27-16,8633_04-19-16,3227_08-15-17,3899_06-13-18,8507_05-03-16,2651_11-22-16,6753_10-30-18,4471_01-03-17,1593_09-12-17,7005_02-14-18,5975_07-18-17,5890_09-27-16,8012_12-09-15,9190_03-14-18,5160_07-19-16,6673_12-07-16,8344_05-02-17,9176_03-29-16,7551_11-02-16,3836_02-27-17,5432_01-27-16,2045_08-21-17,4954_11-23-16,3315_06-07-16,0354_01-10-17,0904_07-10-17,7660_05-01-18,4018_01-05-16,3321_03-08-16,3921_07-18-17,5600_07-10-17,0677_08-19-17,4546_04-26-16,9371_10-16-18,4913_03-07-17,3955_08-25-17,8158_04-12-16,3545_12-13-16,2409_08-02-16
unclassified Moraxellaceae,0,0,46,90,1,2,0,0,5,4,1,2,28,7,1,0,0,0,0,1,17,0,3,2,3,1,128,9,1,0,0,1,2,48,9,7,1,0,4,6,2,51,5,25,5,1,0,1,13,0,0,2,1,20,19,1,0,1,0,3,0,0,0,8,6,0,0,13,21,8,17,0
Alkanindiges,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
Paraperlucidibaca,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0
Fluviicoccus,0,0,1,1,0,0,4,0,12,2,1,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,1,14,0,0,1,6,3,1,15,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,1,0,0,5,1,0,0,0,9,0,0,0,0
Pseudomonas,419,12,2816,1325,144,776,2166,13,1489,1842,295,134,4400,479,170,192,19,20,415,687,1047,13,349,1965,15928,11,2354,3368,54,224,1233,653,754,29595,479,2829,244,1064,733,477,414,92,1750,1382,2256,61,605,102,410,222,431,12997,536,10556,1255,57,22,27,20,374,16,204,1126,1756,2923,342,105,3298,777,7306,32,3
unclassified Pseudomonadaceae,0,0,7,0,0,0,3,0,6,3,1,2,0,17,0,1,0,0,0,0,3,0,0,5,2,0,3,4,0,0,0,0,2,20,0,17,0,0,0,1,0,0,2,2,4,0,2,2,0,0,0,0,4,14,16,0,0,0,0,0,0,0,14,8,3,0,0,15,1,0,0,0
Rugamonas,0,0,6,0,0,1,13,0,0,8,0,0,2,0,2,1,0,0,0,1,6,0,2,4,0,0,1,9,0,0,14,0,10,10,0,11,0,0,0,1,0,4,0,1,0,0,1,1,0,0,0,6,0,35,2,0,0,0,0,0,0,1,10,8,2,0,0,5,0,6,0,0
Thiopseudomonas,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,3,1,5,0,0,9,0,0,0,0
Oblitimonas,0,0,5,1,0,0,0,0,2,1,0,0,8,0,0,0,0,0,0,0,0,0,0,5,3,0,18,4,0,0,20,0,0,8,0,0,0,0,0,2,1,0,2,2,1,0,0,0,0,0,0,0,0,6,0,0,0,2,0,3,0,0,6,0,3,0,1,5,0,1,0,0
Azotobacter,0,0,26,1,0,0,42,0,6,4,0,2,1,0,0,1,0,1,0,0,14,1,5,14,1,1,8,15,1,0,45,0,4,20,2,11,1,9,2,5,3,0,3,13,0,0,5,0,0,1,0,0,8,65,2,1,0,0,0,1,0,0,8,30,35,0,1,25,3,2,0,0
unclassified Pseudomonadales,1,2,16,4,0,0,10,0,0,1,4,0,2,10,0,0,0,0,0,0,3,0,1,6,19,0,26,3,0,0,1,0,0,12,0,6,0,0,0,1,0,0,2,0,0,0,0,0,47,0,0,2,0,26,2,0,0,0,0,0,0,1,3,14,0,70,0,7,3,1,1,0
Citrobacter,41,240,34,31,1,18,91,50,274,2545,1327,660,101,52,11,29,2605,0,631,260041,907,12,5,48,2346,602,341,72,10,122,9,8,28,132,4,143,33,65,513,3,102,116,1085,259,37,60,19,52951,125,5,328,195,159,1093,84,282,5,7938,73,19612,20,3,57,20327,124,119,10,22690,74,31,1,327
Enterobacter,19,9,235,271,49,28,450,29,1288,4584,2472,3928,152,41,5,5,3,186,4,4114,2557,2433,10,172,6586,5,837,165,160,17,30,177,379,2230,31,723,23,7,28502,13,8,558,5365,702,877,265,378,10214,3,77,7,35,17,2490,47,14,69,11,15,1138,27,17,92,1444,192,453,25,45166,82,615,2,232
Escherichia,917,1017,1446,5284,278,2822,83491,1804,298236,2145229,1305726,1168471,22194,1771,313,599,728,382,5043,12221,826528,2461,549,1832,1240018,8669,5268,9306,3497,516,1451,508,1243,8707,101560,52428,1810,722,142901,588,780,2730,28089,12016,12329,2754,6366,513979,896,644,3611,1954,3020,35341,84489,319,3006,1363,865,4124,20992,1164,31818,4733,4460,7677,2947,173567,5470,10501,1326,863
